,date,heure,weekday,Débit horaire,Taux d'occupation
150,2021-11-01,3,0,1222.0,42.87945
7504,2021-11-01,4,0,1033.0,44.35278
7508,2021-11-01,5,0,824.0,20.16222
7501,2021-11-01,6,0,710.0,12.2
7509,2021-11-01,7,0,947.0,40.57222
7507,2021-11-01,8,0,1150.0,60.34889
7512,2021-11-01,9,0,1164.0,52.065
151,2021-11-01,10,0,1046.0,62.80611
7506,2021-11-01,11,0,942.0,77.85389
7511,2021-11-01,12,0,783.0,66.825
147,2021-11-01,13,0,1126.0,48.08667
152,2021-11-01,14,0,1081.0,56.61778
148,2021-11-01,15,0,1159.0,76.20889
146,2021-11-01,16,0,1077.0,47.72444
7510,2021-11-01,17,0,1004.0,37.98056
7503,2021-11-01,18,0,869.0,30.185
153,2021-11-01,19,0,993.0,30.05556
7502,2021-11-01,20,0,1176.0,31.18556
149,2021-11-01,21,0,882.0,21.34889
7505,2021-11-01,22,0,730.0,11.04056
145,2021-11-01,23,0,569.0,9.05111
3736,2021-11-02,0,1,697.0,18.65556
2737,2021-11-02,1,1,637.0,13.30278
2735,2021-11-02,2,1,973.0,38.66945
2736,2021-11-02,3,1,171.0,2.185
3737,2021-11-02,4,1,371.0,7.01334
3735,2021-11-02,5,1,532.0,19.6
3733,2021-11-02,6,1,659.0,7.26778
2734,2021-11-02,7,1,1041.0,12.38333
2733,2021-11-02,8,1,1298.0,32.46556
2732,2021-11-02,9,1,1309.0,30.51056
3734,2021-11-02,10,1,1285.0,56.54833
2728,2021-11-02,11,1,1254.0,51.59833
2725,2021-11-02,12,1,1190.0,50.99667
3729,2021-11-02,13,1,927.0,70.71278
2727,2021-11-02,14,1,879.0,72.09667
2724,2021-11-02,15,1,1103.0,42.42
2731,2021-11-02,16,1,1045.0,47.99722
3731,2021-11-02,17,1,1185.0,35.50333
2730,2021-11-02,18,1,1197.0,31.96111
2726,2021-11-02,19,1,1166.0,25.90556
2729,2021-11-02,20,1,1056.0,19.07833
3730,2021-11-02,21,1,838.0,15.42111
3728,2021-11-02,22,1,792.0,16.78833
3732,2021-11-02,23,1,964.0,22.04389
2634,2021-11-03,0,2,796.0,25.82889
3893,2021-11-03,1,2,591.0,14.52056
3896,2021-11-03,2,2,438.0,12.32833
3905,2021-11-03,3,2,275.0,7.67611
2637,2021-11-03,4,2,318.0,12.37778
3900,2021-11-03,5,2,401.0,6.64555
3895,2021-11-03,6,2,708.0,8.12111
2636,2021-11-03,7,2,1135.0,12.43611
2632,2021-11-03,8,2,1312.0,18.91111
3903,2021-11-03,9,2,1337.0,27.75556
2631,2021-11-03,10,2,1151.0,26.845
