,date,heure,weekday,Débit horaire,Taux d'occupation
2671,2021-11-01,3,0,145.0,0.91611
150434,2021-11-01,4,0,127.0,0.76222
150436,2021-11-01,5,0,136.0,0.69556
2668,2021-11-01,6,0,132.0,0.87167
2670,2021-11-01,7,0,185.0,1.24
2665,2021-11-01,8,0,213.0,1.33111
2672,2021-11-01,9,0,289.0,1.82389
2673,2021-11-01,10,0,397.0,2.67667
2667,2021-11-01,11,0,533.0,3.16222
2674,2021-11-01,12,0,572.0,4.96833
150452,2021-11-01,13,0,574.0,3.34444
150450,2021-11-01,14,0,575.0,3.695
150444,2021-11-01,15,0,621.0,4.42722
150440,2021-11-01,16,0,635.0,5.09556
150442,2021-11-01,17,0,614.0,4.73
2664,2021-11-01,18,0,649.0,5.69556
2666,2021-11-01,19,0,589.0,4.00667
150448,2021-11-01,20,0,546.0,3.43222
2669,2021-11-01,21,0,516.0,3.18666
150438,2021-11-01,22,0,371.0,2.40278
150446,2021-11-01,23,0,236.0,1.66333
16431,2021-11-02,0,1,215.0,1.855
16432,2021-11-02,1,1,135.0,0.79389
71592,2021-11-02,2,1,68.0,0.42611
71590,2021-11-02,3,1,64.0,0.33556
16430,2021-11-02,4,1,67.0,0.31222
16433,2021-11-02,5,1,147.0,0.98945
71593,2021-11-02,6,1,277.0,2.15111
71591,2021-11-02,7,1,507.0,3.26167
16434,2021-11-02,8,1,618.0,4.37444
71588,2021-11-02,9,1,696.0,5.33889
71589,2021-11-02,10,1,627.0,4.72334
71584,2021-11-02,11,1,691.0,4.95945
71583,2021-11-02,12,1,689.0,4.14444
71587,2021-11-02,13,1,758.0,4.64334
16429,2021-11-02,14,1,711.0,5.29389
16427,2021-11-02,15,1,678.0,5.06889
16428,2021-11-02,16,1,729.0,5.90334
71582,2021-11-02,17,1,1007.0,15.17222
71585,2021-11-02,18,1,1062.0,16.38556
71580,2021-11-02,19,1,999.0,7.81945
71586,2021-11-02,20,1,621.0,3.825
71581,2021-11-02,21,1,503.0,2.81333
16426,2021-11-02,22,1,445.0,3.05333
16425,2021-11-02,23,1,337.0,2.37722
65615,2021-11-03,0,2,275.0,2.35889
65610,2021-11-03,1,2,148.0,0.92167
34054,2021-11-03,2,2,96.0,0.61111
65618,2021-11-03,3,2,70.0,0.44556
34061,2021-11-03,4,2,71.0,0.39778
65614,2021-11-03,5,2,143.0,0.82778
65609,2021-11-03,6,2,269.0,2.10389
34064,2021-11-03,7,2,460.0,3.80056
34060,2021-11-03,8,2,760.0,5.99167
34065,2021-11-03,9,2,720.0,6.84333
34067,2021-11-03,10,2,693.0,5.40167
34058,2021-11-03,11,2,684.0,5.56722
34059,2021-11-03,12,2,729.0,4.685
65616,2021-11-03,13,2,782.0,5.55834
65619,2021-11-03,14,2,760.0,5.26056
65613,2021-11-03,15,2,693.0,4.67389
65611,2021-11-03,16,2,853.0,8.68278
34052,2021-11-03,17,2,998.0,23.42222
34063,2021-11-03,18,2,996.0,21.12223
34062,2021-11-03,19,2,1085.0,19.12833
65612,2021-11-03,20,2,760.0,5.79667
34056,2021-11-03,21,2,508.0,3.15611
34066,2021-11-03,22,2,346.0,1.67944
65617,2021-11-03,23,2,420.0,2.435
35494,2021-11-04,0,3,256.0,1.435
67365,2021-11-04,1,3,153.0,0.76111
67364,2021-11-04,2,3,121.0,0.75222
67360,2021-11-04,3,3,92.0,0.655
67362,2021-11-04,4,3,73.0,0.40889
35487,2021-11-04,5,3,157.0,0.95556
35493,2021-11-04,6,3,275.0,2.22333
67366,2021-11-04,7,3,514.0,3.78944
35486,2021-11-04,8,3,722.0,10.78611
35488,2021-11-04,9,3,663.0,4.95611
67356,2021-11-04,10,3,781.0,6.065
35492,2021-11-04,11,3,834.0,5.59111
67354,2021-11-04,12,3,780.0,5.27056
35489,2021-11-04,13,3,786.0,5.88778
35491,2021-11-04,14,3,761.0,5.61445
67357,2021-11-04,15,3,739.0,6.27722
67358,2021-11-04,16,3,802.0,7.52167
67355,2021-11-04,17,3,788.0,27.85834
35485,2021-11-04,18,3,997.0,23.65
67363,2021-11-04,19,3,977.0,19.23667
35490,2021-11-04,20,3,797.0,7.55112
67367,2021-11-04,21,3,498.0,2.98667
67359,2021-11-04,22,3,450.0,2.68278
67361,2021-11-04,23,3,395.0,2.40722
30907,2021-11-05,0,4,321.0,2.47167
30979,2021-11-05,1,4,206.0,1.09278
30906,2021-11-05,2,4,135.0,0.79778
30978,2021-11-05,3,4,98.0,0.66445
30905,2021-11-05,4,4,74.0,0.44556
30977,2021-11-05,5,4,169.0,1.03556
30904,2021-11-05,6,4,269.0,2.22222
30903,2021-11-05,7,4,490.0,3.64056
30976,2021-11-05,8,4,650.0,5.20889
30975,2021-11-05,9,4,660.0,4.18667
30974,2021-11-05,10,4,695.0,3.58667
30902,2021-11-05,11,4,738.0,4.75833
30973,2021-11-05,12,4,860.0,6.03889
30901,2021-11-05,13,4,922.0,13.22778
30972,2021-11-05,14,4,786.0,5.40445
30971,2021-11-05,15,4,828.0,7.20833
30970,2021-11-05,16,4,941.0,9.83889
30900,2021-11-05,17,4,900.0,9.61722
30899,2021-11-05,18,4,1013.0,13.27445
30969,2021-11-05,19,4,930.0,12.74944
30968,2021-11-05,20,4,864.0,5.99833
30967,2021-11-05,21,4,554.0,3.35334
30966,2021-11-05,22,4,428.0,2.28723
30965,2021-11-05,23,4,430.0,2.705
62369,2021-11-06,0,5,353.0,1.99278
13829,2021-11-06,1,5,243.0,1.28389
62370,2021-11-06,2,5,238.0,1.30278
13830,2021-11-06,3,5,195.0,1.17889
13831,2021-11-06,4,5,161.0,0.88111
62371,2021-11-06,5,5,161.0,0.61334
62372,2021-11-06,6,5,204.0,1.57278
62373,2021-11-06,7,5,278.0,1.72111
62374,2021-11-06,8,5,298.0,2.26
62375,2021-11-06,9,5,598.0,4.73278
13832,2021-11-06,10,5,724.0,5.34167
13833,2021-11-06,11,5,752.0,5.21945
62376,2021-11-06,12,5,753.0,4.21944
13834,2021-11-06,13,5,850.0,5.44889
62377,2021-11-06,14,5,779.0,5.86445
13835,2021-11-06,15,5,885.0,5.14945
13836,2021-11-06,16,5,721.0,5.03556
13837,2021-11-06,17,5,779.0,5.605
62378,2021-11-06,18,5,824.0,7.09222
62379,2021-11-06,19,5,923.0,6.255
62380,2021-11-06,20,5,693.0,6.13167
13838,2021-11-06,21,5,463.0,2.52667
62381,2021-11-06,22,5,449.0,2.71
13839,2021-11-06,23,5,376.0,2.155
53785,2021-11-07,0,6,374.0,3.18444
61515,2021-11-07,1,6,274.0,1.50167
53783,2021-11-07,2,6,268.0,1.49778
61514,2021-11-07,3,6,188.0,0.99889
53781,2021-11-07,4,6,149.0,0.88722
53779,2021-11-07,5,6,126.0,0.74222
61513,2021-11-07,6,6,144.0,0.74611
61512,2021-11-07,7,6,149.0,1.00945
53777,2021-11-07,8,6,189.0,1.63
53775,2021-11-07,9,6,252.0,1.66556
53773,2021-11-07,10,6,363.0,2.44556
53771,2021-11-07,11,6,557.0,3.62722
53770,2021-11-07,12,6,679.0,5.18222
53769,2021-11-07,13,6,678.0,4.50945
53768,2021-11-07,14,6,619.0,3.58222
61511,2021-11-07,15,6,773.0,4.89834
61510,2021-11-07,16,6,744.0,5.43611
61509,2021-11-07,17,6,773.0,4.78167
61508,2021-11-07,18,6,701.0,4.92056
53767,2021-11-07,19,6,764.0,4.95167
53766,2021-11-07,20,6,561.0,3.42
61507,2021-11-07,21,6,486.0,2.68889
53765,2021-11-07,22,6,332.0,1.90222
61506,2021-11-07,23,6,283.0,1.77444
59150,2021-11-08,0,0,181.0,1.11722
59149,2021-11-08,1,0,94.0,0.55334
59148,2021-11-08,2,0,58.0,0.34056
59147,2021-11-08,3,0,51.0,0.315
15337,2021-11-08,4,0,69.0,0.39222
15336,2021-11-08,5,0,111.0,0.60556
59146,2021-11-08,6,0,259.0,2.06833
59145,2021-11-08,7,0,521.0,4.21778
59144,2021-11-08,8,0,794.0,8.01611
15335,2021-11-08,9,0,721.0,5.96611
59143,2021-11-08,10,0,666.0,4.705
15334,2021-11-08,11,0,694.0,5.51889
59142,2021-11-08,12,0,693.0,4.84556
15333,2021-11-08,13,0,797.0,5.23611
59141,2021-11-08,14,0,772.0,5.57778
59140,2021-11-08,15,0,748.0,5.35111
15332,2021-11-08,16,0,846.0,7.05611
15331,2021-11-08,17,0,846.0,6.84833
15330,2021-11-08,18,0,995.0,10.50444
59139,2021-11-08,19,0,884.0,5.62945
15329,2021-11-08,20,0,676.0,5.56833
15328,2021-11-08,21,0,477.0,2.65
59138,2021-11-08,22,0,376.0,1.95722
59137,2021-11-08,23,0,307.0,1.58389
6630,2021-11-09,0,1,195.0,1.12333
6628,2021-11-09,1,1,145.0,0.90611
6627,2021-11-09,2,1,114.0,0.73889
6626,2021-11-09,3,1,62.0,0.28389
6625,2021-11-09,4,1,64.0,0.38444
20927,2021-11-09,5,1,139.0,0.695
6624,2021-11-09,6,1,299.0,1.68111
6623,2021-11-09,7,1,535.0,4.37111
20925,2021-11-09,8,1,787.0,5.91611
20923,2021-11-09,9,1,771.0,6.49889
20921,2021-11-09,10,1,725.0,5.58612
6622,2021-11-09,11,1,736.0,5.265
20919,2021-11-09,12,1,829.0,5.62667
6621,2021-11-09,13,1,908.0,6.24778
6620,2021-11-09,14,1,761.0,5.68389
