,date,heure,weekday,Débit horaire,Taux d'occupation
29748,2021-11-01,3,0,163.0,1.94556
972,2021-11-01,4,0,125.0,1.67778
29746,2021-11-01,5,0,115.0,1.58444
29747,2021-11-01,6,0,129.0,1.56222
29750,2021-11-01,7,0,144.0,1.94278
971,2021-11-01,8,0,189.0,2.21778
978,2021-11-01,9,0,251.0,3.01889
29751,2021-11-01,10,0,308.0,3.78055
29749,2021-11-01,11,0,400.0,5.55834
975,2021-11-01,12,0,417.0,5.07722
967,2021-11-01,13,0,445.0,5.35611
29745,2021-11-01,14,0,425.0,5.135
976,2021-11-01,15,0,474.0,6.03833
974,2021-11-01,16,0,499.0,6.65778
973,2021-11-01,17,0,465.0,6.07222
968,2021-11-01,18,0,469.0,6.00056
970,2021-11-01,19,0,476.0,5.75111
29743,2021-11-01,20,0,437.0,5.115
977,2021-11-01,21,0,304.0,3.55833
969,2021-11-01,22,0,296.0,3.79445
29744,2021-11-01,23,0,285.0,3.33834
29307,2021-11-02,0,1,176.0,2.07445
14476,2021-11-02,1,1,94.0,1.26
29308,2021-11-02,2,1,62.0,0.86389
14474,2021-11-02,3,1,27.0,0.44834
14475,2021-11-02,4,1,38.0,0.54611
14470,2021-11-02,5,1,79.0,0.97667
14472,2021-11-02,6,1,191.0,2.42889
14471,2021-11-02,7,1,315.0,4.67556
14473,2021-11-02,8,1,519.0,7.54333
14477,2021-11-02,9,1,617.0,7.48611
29309,2021-11-02,10,1,522.0,6.83778
14467,2021-11-02,11,1,481.0,6.85056
14466,2021-11-02,12,1,632.0,9.05778
29300,2021-11-02,13,1,606.0,9.53834
29306,2021-11-02,14,1,539.0,7.94833
29302,2021-11-02,15,1,611.0,7.58389
14468,2021-11-02,16,1,619.0,8.14834
29303,2021-11-02,17,1,635.0,9.25611
29304,2021-11-02,18,1,671.0,7.85167
14465,2021-11-02,19,1,661.0,7.53111
14469,2021-11-02,20,1,514.0,6.25
29301,2021-11-02,21,1,395.0,4.56222
29305,2021-11-02,22,1,387.0,4.445
14464,2021-11-02,23,1,366.0,4.20556
14246,2021-11-03,0,2,242.0,2.97833
14237,2021-11-03,1,2,129.0,1.57389
10666,2021-11-03,2,2,68.0,0.95778
10658,2021-11-03,3,2,41.0,0.65445
10663,2021-11-03,4,2,42.0,0.59389
14245,2021-11-03,5,2,89.0,1.19444
14243,2021-11-03,6,2,198.0,2.39611
14244,2021-11-03,7,2,379.0,5.06222
14249,2021-11-03,8,2,548.0,7.87055
10660,2021-11-03,9,2,682.0,9.09889
